00052031            00000030 836285       00191017NNMDGS02YCORPORATE EXPRESS FRA    090213
00052031            00000010 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00052031            00000100 836604       00160065NNMDGCOLNOFFICE DEPOT BS SAS      090220
00052051            00000010 836303       00145165NNMDGCOLYVIKING DIRECT            090209
00052051            00000005 836578       00113810NYMDGCOLYVIKING DIRECT            090209
00052051            00000020 836285       00191017NNMDGS02YCORPORATE EXPRESS FRA    090213
00052051            00000005 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00052071            00000010 836067       00193003NNMDGSYGYSPICERS                  090212
00052071            00000025 836313       00193003NNMDGSYGYSPICERS                  090212
00052071            00000010 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00052071            00000050 836656       00160065NNMDGCOLNOFFICE DEPOT BS SAS      090220
00052961            00000065 835865       00462040NYMDGCATNLIBRAIRIE ANTILLAISE     090415
00052961            00000005 834721       00107845NNMDGSYTYLIVRES & CO AUBENAS      090504
00055-06            00000005 836285       00191017NNMDGS02YCORPORATE EXPRESS FRA    090213
00055011            00000030 835936       00195015NNMDGS02YJ.P.G.                   090209
00055011            00000020 836306       00195015NNMDGS02YJ.P.G.                   090209
00055011            00000020 835931       00191040NNMDGS02NJM BRUNEAU               090211
00055011            00000005 836285       00191017NNMDGS02YCORPORATE EXPRESS FRA    090213
00055011            00000025 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00055011            00000050 836656       00160065NNMDGCOLNOFFICE DEPOT BS SAS      090220
00055011            00000010 834641       00125103NNMDGS03YLIB DE L UNIVERSITE D    090511
00055031            00000005 836541       00113193NNMDGSYAYPAP DU COMMERCE          090206
00055031            00000010 836615       00187040NYMDGS01YFABREGUE DUO             090206
00055031            00000050 835445       00153043NNMDGCOLYLYRECO SA                090209
00055031            00000050 836623       00102188NNMDGSYGYM.D.S                    090210
00055031            00000010 836285       00191017NNMDGS02YCORPORATE EXPRESS FRA    090213
00055031            00000100 836483       00153043NNMDGCOLYLYRECO SA                090217
00055031            00000010 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00055051            00000005 836285       00191017NNMDGS02YCORPORATE EXPRESS FRA    090213
00055051            00000005 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00055071            00000005 836378       00154138NYMDGSYAYETS SCHALLER TT POUR     090206
00055071            00000040 835923       00153043NNMDGCOLYLYRECO SA                090210
00055071            00000025 836623       00102188NNMDGSYGYM.D.S                    090210
00055071            00000050 834084       00193397NNMDGSYAYSACFOM (CENTRALE)        090212
00055071            00000050 835137       00193397NNMDGSYAYSACFOM (CENTRALE)        090226
00055961            00000005 836286       00138700NNMDGS01YBUREAU VALLEE BOURGOU    090206
00056-06            00000280 836604       00160065NNMDGCOLNOFFICE DEPOT BS SAS      090220
00056011            00000020 836324       00191040NNMDGS02NJM BRUNEAU               090206
00056011            00000020 835669       00195015NNMDGS02YJ.P.G.                   090210
00056011            00000010 836285       00191017NNMDGS02YCORPORATE EXPRESS FRA    090213
00056011            00000015 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00056011            00000020 836422       00191040NNMDGS02NJM BRUNEAU               090218
00056011            00000010 834641       00125103NNMDGS03YLIB DE L UNIVERSITE D    090511
00056031            00000005 834906       00182067NNMDGSYGYDIFPAP                   090206
00056031            00000010 836615       00187040NYMDGS01YFABREGUE DUO             090206
00056031            00000010 836303       00145165NNMDGCOLYVIKING DIRECT            090209
00056031            00000020 836574       00145165NYMDGCOLYVIKING DIRECT            090212
00056031            00000200 836656       00160065NNMDGCOLNOFFICE DEPOT BS SAS      090220
00056051            00000005 834026       00182067NNMDGSYGYDIFPAP                   090206
00056071            00000015 836313       00193003NNMDGSYGYSPICERS                  090212
00057011            00000002 834026       00182067NNMDGSYGYDIFPAP                   090206
00057011            00000080 834973       00160065NNMDGCOLNOFFICE DEPOT BS SAS      090206
00057011            00000014 835714       00191017NNMDGS02YCORPORATE EXPRESS FRA    090206
00057011            00000008 836285       00191017NNMDGS02YCORPORATE EXPRESS FRA    090213
00057011            00000048 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00057011            00000080 836656       00160065NNMDGCOLNOFFICE DEPOT BS SAS      090220
00057011            00000006 834641       00125103NNMDGS03YLIB DE L UNIVERSITE D    090511
00057051            00000020 836574       00145165NYMDGCOLYVIKING DIRECT            090212
00057051            00000008 834641       00125103NNMDGS03YLIB DE L UNIVERSITE D    090511
00058031            00000100 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00058061            00000015 835590       00193003NNMDGSYGYSPICERS                  090206
00058061            00000005 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00058161            00000005 836378       00154138NYMDGSYAYETS SCHALLER TT POUR     090206
00058181            00000005 836584       00191017NYMDGS02YCORPORATE EXPRESS FRA    090217
00058901            00000020 834906       00182067NNMDGSYGYDIFPAP                   090206
00058901            00000050 836578       00113810NYMDGCOLYVIKING DIRECT            090209
00058901            00000010 836567       00198635NNMDGSYTNBHV RIVOLI               090213
00058901            00000010 834641       00125103NNMDGS03YLIB DE L UNIVERSITE D    090511
