01993852-20         00000900                        000000000000015000000150       MDG
02134081-17         00005100                        000001200000001000000010       MDG
02134081-17         00000000                        000001200000001000000010       TR
02149011-09         00002000                        000000500000001000000010       MDG
02149011-09         00000000                        000000500000001000000010       TR
02150011-09         00000180                        000000300000001000000010       MDG
02150011-09         00000000                        000000300000001000000010       TR
02151011-09         00000440                        000000500000001000000010       MDG
02151011-09         00000000                        000000500000001000000010       TR
02196081-17         00002190                        000009500000000100000001       MDG
02196081-17         00000000                        000009500000000100000001       TR
02231081-17         00001900                        000003400000002000000020       MDG
02903801-40         00000440                        000000000000002000000020       MDG
02903802-40         00002340                        000000000000002000000020       MDG
040-20              00000504                        000000000000001200000012       MDG
0421527-17          00000465                        000000000000015500000155       MDG
05075501-17         00003140                        000000000000001000000010       MDG
05403414-20         00000392                        000000000000000800000008       MDG
05417501-17         00003080                        000000100000001000000010       MDG
05417501-17         00000000                        000000100000001000000010       TR
05418501-17         00003350                        000000100000001000000010       MDG
05418501-17         00000000                        000000100000001000000010       TR
05419501-17         00001590                        000001600000001000000010       MDG
05419501-17         00000000                        000001600000001000000010       TR
05904108-20         00022640                        000001400000002000000020       MDG
05904108-20         00000640                        000001400000002000000020       SOT
05914108-20         00000000                        000001200000001200000012       BIS
05914108-20         00007728                        000001200000001200000012       MDG
059241-20           00000168                        000000000000001200000012       MDG
059241-20           00000228                        000000000000001200000012       SOT
05924108-20         00000612                        000000000000001200000012       MDG
05944108-20         00007380                        000000000000001200000012       MDG
05944108-20         00000576                        000000000000001200000012       SOT
05964108-20         00005908                        000001400000001400000014       MDG
05964108-20         00000476                        000001400000001400000014       SOT
05974108-20         00000000                        000000800000004000000040       BIS
05974108-20         00011800                        000000800000004000000040       MDG
05984108-20         00004940                        000001200000002000000020       MDG
05984108-20         00001920                        000001200000002000000020       SOT
0606900-17          00000520                        000007200000002000000020       MDG
0606900-17          00000000                        000007200000002000000020       SOT
061807-20           00000000                        000003360000001200000012       GFP
061807-20           00006816                        000003360000001200000012       MDG
061808-20           00000000                        000003330000000900000009       GFP
061808-20           00003519                        000003330000000900000009       MDG
061810-20           00000000                        000004600000002000000020       GFP
061810-20           00011460                        000004600000002000000020       MDG
061810-20           00003840                        000004600000002000000020       SOT
061811-20           00000000                        000002520000001200000012       GFP
061811-20           00008892                        000002520000001200000012       MDG
061812-20           00000000                        000002520000000900000009       GFP
061812-20           00003267                        000002520000000900000009       MDG
061814-17           00000020                        000000000000002000000020       MDG
0622101-17          00001088                        000000000000000100000001       MDG
0629101-17          00002754                        000000000000000100000001       MDG
063026-03           00001430                        000000100000001000000010       MDG
063026-03           00000000                        000000100000001000000010       SOT
063026-17           00001500                        000000100000001000000010       MDG
063026-20           00000950                        000000000000001000000010       MDG
063026-20           00011160                        000000000000001000000010       SOT
063034-17           00003132                        000000000000001200000012       MDG
063034-20           00000000                        000000120000001200000012       GFP
063034-20           00000732                        000000120000001200000012       MDG
063040-07           00024240                        000000100000001000000010       MDG
063040-07           00000000                        000000100000001000000010       STM
06314901-17         00000000                        000008600000002000000020       BIS
06314901-17         00004180                        000008600000002000000020       MDG
063440-07           00005292                        000000000000001400000014       MDG
06344002-07         00001246                        000000000000001400000014       MDG
064012-03           00009618                        000001120000001400000014       MDG
064012-03           00000000                        000001120000001400000014       SOT
064012-09           00001946                        000002240000001400000014       MDG
064012-13           00002212                        000000140000001400000014       MDG
064012-13           00000000                        000000140000001400000014       SOT
064012-14           00002086                        000000840000001400000014       MDG
064983-20           00000117                        000000000000003900000039       MDG
064983-20           00000312                        000000000000003900000039       SOT
064992-20           00000024                        000000000000002400000024       SOT
070981-09           00000014                        000000000000001400000014       MDG
076350-20           00015840                        000000000000002000000020       MDG
076355-20           00042520                        000000000000002000000020       MDG
080141-20           00000014                        000000000000001400000014       MDG
080157-20           00000434                        000000000000001400000014       MDG
080158-20           00000952                        000000000000001400000014       MDG
080158-20           00000896                        000000000000001400000014       SOT
080258-20           00000126                        000000000000001400000014       MDG
080559-20           00000336                        000000000000001200000012       MDG
080560-20           00001536                        000000000000001200000012       MDG
080858-20           00001460                        000000000000002000000020       MDG
080860-20           00005800                        000000000000002000000020       MDG
080958-20           00000700                        000000000000001400000014       MDG
080959-20           00000460                        000000000000002000000020       MDG
080960-20           00002464                        000000000000001400000014       MDG
081058-20           00001340                        000000000000002000000020       MDG
081059-20           00002940                        000000000000002000000020       MDG
081060-20           00013840                        000000000000002000000020       MDG
0820518-17          00012000                        000000000000050000000500       MDG
0820518-17          00071500                        000000000000050000000500       SOT
0821003-13          00028000                        000015000000050000000500       MDG
0821003-13          00000000                        000015000000050000000500       STM
0821004-15          00034000                        000000000000050000000500       MDG
0821218-17          00076500                        000000000000050000000500       MDG
085659-20           00000910                        000000000000001400000014       MDG
085660-20           00000840                        000000000000001400000014       MDG
085841-20           00000020                        000000000000002000000020       MDG
0879430-20          00002300                        000000000000002000000020       MDG
088659-20           00003472                        000000000000001400000014       MDG
088660-20           00002646                        000000000000001400000014       MDG
09011081-17         00004150                        000000750000002500000025       MDG
09011081-17         00000000                        000000750000002500000025       SOT
09015501-17         00002160                        000002100000003000000030       MDG
09015501-17         00000000                        000002100000003000000030       TR
09015502-17         00008400                        000000000000010000000100       MDG
090158-20           00004508                        000000000000001400000014       MDG
09016501-17         00001220                        000000000000002000000020       MDG
09016502-17         00000150                        000000000000005000000050       MDG
09034083-17         00006480                        000011000000002000000020       MDG
09034083-17         00000000                        000011000000002000000020       TR
090458-20           00005472                        000000000000001200000012       MDG
09081081-17         00022575                        000031250000002500000025       MDG
09081081-17         00000000                        000031250000002500000025       TR
090858-20           00002900                        000000200000002000000020       MDG
090858-20           00000000                        000000200000002000000020       SO2
090960-20           00002464                        000000000000001400000014       MDG
091058-20           00008000                        000000000000002000000020       MDG
09129081-17         00015850                        000011500000005000000050       MDG
09129081-17         00000000                        000011500000005000000050       TR
0913000-20          00008980                        000000000000002000000020       MDG
0916000-20          00010900                        000000000000002000000020       MDG
093040-07           00005026                        000000000000001400000014       MDG
096860-20           00001044                        000000000000001200000012       MDG
097659-20           00000750                        000000000000001000000010       MDG
098359-20           00004068                        000000000000001200000012       MDG
098360-20           00004608                        000000000000001200000012       MDG
098659-20           00001778                        000000000000001400000014       MDG
098660-20           00001918                        000000000000001400000014       MDG
099959-20           00001900                        000000000000002000000020       MDG
099960-20           00004980                        000000000000002000000020       MDG
100-17              00000456                        000000000000002400000024       MDG
10014009-20         00034000                        000000000000012500000125       MDG
10014109-17         00035000                        000000000000012500000125       MDG
10014109-17         00059000                        000000000000012500000125       SOT
100142-04           00000750                        000000000000012500000125       MDG
100143-08           00001250                        000000000000012500000125       MDG
10014309-08         00016125                        000000000000012500000125       MDG
100144-09           00002500                        000000000000012500000125       MDG
10014409-09         00029375                        000000000000012500000125       MDG
100145-11           00001250                        000000000000012500000125       MDG
10014509-11         00036500                        000000000000012500000125       MDG
100146-13           00005000                        000000000000012500000125       MDG
100147-15           00002375                        000000000000012500000125       MDG
10014809-10         00010500                        000000000000012500000125       MDG
10015009-20         00012000                        000000000000012500000125       MDG
10016002-20         00006500                        000000000000005000000050       MDG
10016008-20         00035000                        000000000000005000000050       MDG
10016009-20         00042000                        000000000000012500000125       MDG
10016109-17         00045625                        000000000000012500000125       MDG
10016109-17         00028375                        000000000000012500000125       SOT
10016209-04         00025375                        000000000000012500000125       MDG
10016209-04         00024750                        000000000000012500000125       SOT
100163-08           00000250                        000000000000012500000125       MDG
10016309-08         00023500                        000000000000012500000125       MDG
10016409-09         00009000                        000000000000012500000125       MDG
10016409-09         00005500                        000000000000012500000125       SOT
100165-11           00000500                        000000000000012500000125       MDG
10016509-11         00025125                        000000000000012500000125       MDG
100166-13           00004500                        000000000000012500000125       MDG
100166-13           00002250                        000000000000012500000125       SOT
10016609-13         00013875                        000000000000012500000125       MDG
10016609-13         00022500                        000000000000012500000125       SOT
10016709-15         00030000                        000000000000012500000125       MDG
100168-10           00000125                        000000000000012500000125       MDG
100168-10           00004500                        000000000000012500000125       SOT
10016809-10         00005625                        000000000000012500000125       MDG
10016809-10         00011250                        000000000000012500000125       SOT
10017009-20         00006000                        000000000000012500000125       MDG
10018002-20         00000000                        000001000000005000000050       BIS
10018002-20         00002450                        000001000000005000000050       MDG
10018008-20         00020000                        000000000000005000000050       MDG
10018009-20         00042000                        000000000000012500000125       MDG
10018109-17         00056875                        000000000000012500000125       MDG
10018109-17         00066000                        000000000000012500000125       SOT
10018209-04         00095125                        000000000000012500000125       MDG
10018209-04         00025000                        000000000000012500000125       SOT
100183-08           00004875                        000000000000012500000125       MDG
10018309-08         00048500                        000000000000012500000125       MDG
100184-09           00001875                        000000000000012500000125       MDG
10018409-09         00040000                        000000000000012500000125       MDG
10018409-09         00022750                        000000000000012500000125       SOT
10018509-11         00038375                        000000000000012500000125       MDG
10018509-11         00042750                        000000000000012500000125       SOT
10018609-13         00047250                        000000000000012500000125       MDG
10018609-13         00046000                        000000000000012500000125       SOT
100187-15           00000375                        000000000000012500000125       MDG
10018709-15         00041375                        000000000000012500000125       MDG
10018809-10         00025375                        000000000000012500000125       MDG
10018809-10         00024500                        000000000000012500000125       SOT
100190-20           00001375                        000000000000012500000125       MDG
10019009-20         00065250                        000000000000012500000125       MDG
10020009-20         00008500                        000000000000012500000125       MDG
10020009-20         00031500                        000000000000012500000125       SOT
10020109-17         00016625                        000000000000012500000125       MDG
10021008-20         00041800                        000000000000005000000050       MDG
10021009-20         00030000                        000000000000012500000125       MDG
10022008-20         00008000                        000000000000005000000050       MDG
10022009-20         00035000                        000000000000012500000125       MDG
10022109-17         00017250                        000000000000012500000125       MDG
10023008-20         00008500                        000000000000005000000050       MDG
10023009-20         00007000                        000000000000012500000125       MDG
10024009-20         00035000                        000000000000012500000125       MDG
10024009-20         00029250                        000000000000012500000125       SOT
10024109-17         00050000                        000000000000012500000125       MDG
100250-20           00002125                        000000000000012500000125       MDG
10025008-20         00013150                        000000000000005000000050       MDG
10031008-17         00051500                        000000000000005000000050       MDG
100311-20           00000050                        000000000000005000000050       MDG
10031108-20         00025000                        000000000000005000000050       MDG
100320-20           00003650                        000000000000005000000050       MDG
10032009-20         00012000                        000000000000005000000050       MDG
100330-17           00001700                        000000000000005000000050       MDG
10033009-17         00010450                        000000000000005000000050       MDG
100340-20           00005300                        000000000000005000000050       MDG
10035009-17         00033700                        000000000000005000000050       MDG
10040003-20         00000000                        000000500000005000000050       BIS
10040003-20         00004750                        000000500000005000000050       MDG
10040006-20         00032500                        000013750000012500000125       MDG
10040009-20         00030000                        000000000000012500000125       MDG
10040010-20         00018800                        000000000000005000000050       MDG
100401-17           00006000                        000000000000012500000125       MDG
10040101-17         00002375                        000000000000012500000125       MDG
10040102-17         00002250                        000000000000012500000125       MDG
10040106-17         00002375                        000000000000012500000125       MDG
10042002-20         00000100                        000000000000005000000050       MDG
10042003-20         00004700                        000000000000005000000050       MDG
10042006-20         00018875                        000007500000012500000125       MDG
10042007-20         00004375                        000000000000012500000125       MDG
10042009-20         00015000                        000000000000012500000125       MDG
10042010-20         00012000                        000000000000005000000050       MDG
10042101-17         00002625                        000000000000012500000125       MDG
10042103-17         00000500                        000000000000012500000125       MDG
10042106-17         00002250                        000000000000012500000125       MDG
10044003-20         00003850                        000000000000005000000050       MDG
10044006-20         00040750                        000022500000012500000125       MDG
10044006-20         00018000                        000022500000012500000125       SOT
10044009-20         00003000                        000000000000012500000125       MDG
10044010-20         00011100                        000000000000005000000050       MDG
10044101-17         00001625                        000000000000012500000125       MDG
10044106-17         00000250                        000000000000012500000125       MDG
10044109-17         00023125                        000000000000012500000125       MDG
10044109-17         00006750                        000000000000012500000125       SOT
1012-17             00000792                        000000000000002400000024       MDG
101515-09           00000270                        000000000000001500000015       MDG
101515-14           00000570                        000000000000001500000015       MDG
1019-20             00003744                        000010400000001600000016       MDG
1019-20             00000000                        000010400000001600000016       SOT
102-20              00000096                        000000000000000400000004       MDG
1022-17             00005900                        000000000000005000000050       MDG
102515-03           00001240                        000000300000001000000010       MDG
102515-03           00000000                        000000300000001000000010       SOT
102515-08           00000650                        000000300000001000000010       MDG
102515-08           00000000                        000000300000001000000010       SOT
102515-09           00001930                        000000300000001000000010       MDG
102515-09           00000000                        000000300000001000000010       SOT
102515-11           00000140                        000000300000001000000010       MDG
102515-13           00001060                        000000500000001000000010       MDG
102515-13           00000000                        000000500000001000000010       STM
102515-14           00001270                        000000300000001000000010       MDG
102515-14           00000000                        000000300000001000000010       SOT
102515-20           00002840                        000008600000001000000010       MDG
102515-20           00000000                        000008600000001000000010       SOT
1029302-07          00001005                        000000000000000500000005       SOT
1042-17             00001520                        000000000000002000000020       MDG
104629-20           00000000                        000000720000001200000012       GFP
104629-20           00014556                        000000720000001200000012       MDG
104629-20           00000384                        000000720000001200000012       SOT
1053321-17          00010360                        000011200000014000000140       MDG
106629-20           00000000                        000005130000000900000009       GFP
106629-20           00014094                        000005130000000900000009       MDG
108203-20           00000000                        000006000000002000000020       BIS
108203-20           00011320                        000006000000002000000020       MDG
108204-20           00001536                        000003120000001200000012       MDG
108204-20           00001152                        000003120000001200000012       SOT
108206-20           00000072                        000000000000002400000024       MDG
108206-20           00000024                        000000000000002400000024       SOT
116374-08           00002200                        000000000000002500000025       MDG
116875-20           00012580                        000000000000002000000020       SOT
120091-03           00002000                        000005500000005000000050       MDG
120091-07           00002500                        000002500000005000000050       MDG
120091-13           00001950                        000005500000005000000050       MDG
120091-14           00002400                        000002500000005000000050       MDG
120091-20           00019200                        000001500000005000000050       MDG
120092-20           00000320                        000000000000000500000005       MDG
120406-20           00000000                        000004500000005000000050       GFP
120406-20           00015200                        000004500000005000000050       MDG
120406-20           00004000                        000004500000005000000050       SOT
120519-02           00006150                        000001500000005000000050       MDG
120519-02           00000000                        000001500000005000000050       SOT
120519-03           00019700                        000020000000005000000050       MDG
120519-03           00000000                        000020000000005000000050       SOT
120519-04           00004900                        000000000000005000000050       MDG
120519-06           00000000                        000003500000005000000050       LEV
120519-06           00003200                        000003500000005000000050       MDG
120519-07           00000000                        000006000000005000000050       MAR
120519-07           00012300                        000006000000005000000050       MDG
120519-08           00016400                        000010000000005000000050       MDG
120519-08           00000000                        000010000000005000000050       SOT
120519-09           00008250                        000000500000005000000050       MDG
120519-09           00000000                        000000500000005000000050       SOT
120519-11           00006200                        000005500000005000000050       MDG
120519-11           00000000                        000005500000005000000050       SOT
120519-12           00000750                        000001000000005000000050       MDG
120519-12           00001450                        000001000000005000000050       SOT
120519-13           00027200                        000013000000005000000050       MDG
120519-13           00000000                        000013000000005000000050       SOT
120519-14           00003150                        000012500000005000000050       MDG
120519-14           00000000                        000012500000005000000050       SOT
120519-15           00009300                        000005500000005000000050       MDG
120519-15           00000000                        000005500000005000000050       SOT
120519-20           00141600                        000027500000005000000050       MDG
120519-20           00050000                        000027500000005000000050       SOT
120519-21           00022750                        000000000000005000000050       MDG
1205190501-03       00134000                        000026500000005000000050       MDG
1205190501-03       00035000                        000026500000005000000050       SOT
1205190501-03       00000000                        000026500000005000000050       SO2
1205190501-07       00000000                        000000500000005000000050       LEV
1205190501-07       00053550                        000000500000005000000050       MDG
1205190501-08       00113850                        000032500000005000000050       MDG
1205190501-08       00000000                        000032500000005000000050       SOB
1205190501-08       00012500                        000032500000005000000050       SOT
1205190501-09       00001550                        000003000000005000000050       MDG
1205190501-13       00094850                        000025500000005000000050       MDG
1205190501-13       00035000                        000025500000005000000050       SOT
1205190501-13       00000000                        000025500000005000000050       SO2
1205190501-14       00112750                        000063500000005000000050       MDG
1205190501-14       00017500                        000063500000005000000050       SOT
1205190501-14       00000000                        000063500000005000000050       SO2
1205190501-15       00001150                        000000000000005000000050       MDG
1205190501-20       00070850                        000614500000005000000050       MDG
1205190501-20       00462500                        000614500000005000000050       SOT
1205190501-20       00000000                        000614500000005000000050       SO2
1205190501-21       00003050                        000029000000005000000050       MDG
1205190501-21       00020000                        000029000000005000000050       SOT
120539-03           00024850                        000048500000005000000050       MDG
120539-03           00000000                        000048500000005000000050       SOT
120539-08           00000000                        000007000000005000000050       LEV
120539-08           00024900                        000007000000005000000050       MDG
120539-13           00039200                        000005500000005000000050       MDG
120539-14           00021300                        000011000000005000000050       MDG
120539-20           00046200                        000001500000005000000050       MDG
120539-20           00002500                        000001500000005000000050       SOT
12061505-04         00000035                        000000000000000500000005       MDG
12061505-08         00000640                        000000000000000500000005       MDG
12061505-13         00000615                        000000000000000500000005       MDG
12061505-14         00000350                        000000000000000500000005       MDG
12061505-20         00000010                        000000000000000500000005       MDG
120815-03           00009750                        000000000000005000000050       MDG
120815-07           00006150                        000000000000005000000050       MDG
120815-08           00005800                        000000000000005000000050       MDG
