02196081-17         00003680 0251351                                                     090225
02196081-17         00002560 0251352                                                     090311
02196081-17         00002880 0251353                                                     090325
02231081-17         00001000 0251114                                                     090311
02231081-17         00001000 0251115                                                     090318
02231081-17         00001000 0251776                                                     090310
02231081-17         00001000 0251779                                                     090304
05418501-17         00001400 0253741                                                     090224
05419501-17         00001560 0253732                                                     090210
05419501-17         00001560 0254147                                                     090324
05904108-20         00010000 0251864                                                     090331
05914108-20         00004032 0250009                                                     090224
05914108-20         00004608 0250259                                                     090217
05914108-20         00008640 0252113                                                     090407
05914108-20         00008064 0252404                                                     090310
05924108-20         00000576 0250289                                                     090303
05924108-20         00001728 0251293                                                     090617
05944108-20         00002688 0250332                                                     090402
05964108-20         00002240 0252704                                                     090327
05974108-20         00006800 0250436                                                     090220
05984108-20         00003840 0250478                                                     090217
05984108-20         00005760 0250479                                                     090526
05984108-20         00009600 0252248                                                     090407
0606900-17          00001440 0245758                                                     090203
0606900-17          00005040 0251357                                                     090224
061807-20           00003840 0251451                                                     090218
061808-20           00000864 0245953                                                     090127
061808-20           00002304 0251547                                                     090319
061810-20           00023040 0251562                                                     090403
061811-20           00003072 0251591                                                     090327
061812-20           00002016 0250742                                                     090220
061812-20           00002880 0254288                                                     090327
0622101-17          00001000 0254123                                                     090210
0622101-17          00000500 0254124                                                     090210
0622101-17          00000250 0254141                                                     090224
0622101-17          00004250 0254152                                                     090304
0622101-17          00001750 0254154                                                     090318
0629101-17          00001000 0254158                                                     090204
0629101-17          00001500 0254159                                                     090224
0629101-17          00001250 0254160                                                     090224
0629101-17          00001750 0254171                                                     090304
0629101-17          00001250 0254173                                                     090318
063026-03           00000720 0251797                                                     090324
063026-03           00000480 0251830                                                     090317
063026-17           00000480 0247277                                                     090303
063026-17           00000480 0251822                                                     090324
063034-17           00001152 0251839                                                     090317
063034-17           00001152 0251840                                                     090324
063034-20           00000576 0251854                                                     090324
063040-07           00004320 0252252                                                     090324
06314901-17         00002800 0247293                                                     090210
06314901-17         00002800 0247296                                                     090210
06314901-17         00002800 0247297                                                     090224
063440-07           00002688 0250592                                                     090602
064012-03           00000448 0245912                                                     090203
064012-03           00001792 0252916                                                     090324
064012-09           00000896 0245950                                                     090303
064012-09           00000896 0252422                                                     090324
064012-13           00000448 0252911                                                     090331
064012-13           00000448 0254318                                                     090317
064012-14           00000896 0247288                                                     090303
064012-14           00000896 0252920                                                     090331
076350-20           00024000 0252066                                                     090318
076350-20           00015000 0252582                                                     090216
076355-20           00011200 0252699                                                     090317
076355-20           00030800 0252700                                                     090319
080860-20           00003840 0245886                                                     090217
080860-20           00005760 0245921                                                     090225
080860-20           00009600 0253078                                                     090325
080959-20           00000400 0253142                                                     090520
080960-20           00001400 0253157                                                     090325
081060-20           00006400 0245954                                                     090210
081060-20           00006400 0250648                                                     090224
081060-20           00009000 0253165                                                     090401
0821218-17          00090000 0254250                                                     090127
0821218-17          00045000 0254442                                                     090210
0821218-17          00067500 0254448                                                     090303
0821218-17          00045000 0254449                                                     090318
088660-20           00004032 0244406                                                     090210
088660-20           00005376 0244484                                                     090224
088660-20           00005824 0247442                                                     090210
09011081-17         00000600 0243123                                                     090210
09011081-17         00001250 0245777                                                     090303
09011081-17         00001500 0252274                                                     090310
09016501-17         00001280 0246553                                                     090206
09016501-17         00001280 0252337                                                     090310
09016501-17         00001280 0252338                                                     090324
09034083-17         00008000 0247371                                                     090203
09034083-17         00002500 0247497                                                     090303
09034083-17         00005600 0254427                                                     090310
09034083-17         00004000 0262824                                                     090224
09081081-17         00013000 0247387                                                     090217
09081081-17         00010000 0253626                                                     090317
090960-20           00000280 0251742                                                     090313
09129081-17         00008000 0247449                                                     090303
09129081-17         00006000 0252467                                                     090324
09129081-17         00004000 0253666                                                     090217
0913000-20          00006000 0253087                                                     090227
093040-07           00000448 0252594                                                     090303
093040-07           00000448 0252698                                                     090303
093040-07           00000448 0252793                                                     090303
096860-20           00000672 0250795                                                     090220
